1  1.00e-03  0.5576941639  1.579880e-01 1.0328
1  1.10e-03  0.5576915133  1.579880e-01 1.0328
1  1.20e-03  0.5576886414  1.579880e-01 1.0328
1  1.32e-03  0.5576854269  1.579880e-01 1.0328
1  1.45e-03  0.5576818585  1.579880e-01 1.0328
1  1.58e-03  0.5576780293  1.579880e-01 1.0328
1  1.74e-03  0.5576738793  1.579880e-01 1.0328
1  1.91e-03  0.5576692439  1.579880e-01 1.0328
1  2.09e-03  0.5576641027  1.579880e-01 1.0328
1  2.29e-03  0.5576586063  1.579880e-01 1.0328
1  2.51e-03  0.5576524718  1.579880e-01 1.0328
1  2.75e-03  0.5576458097  1.579880e-01 1.0328
1  3.02e-03  0.557638469  1.579880e-01 1.0328
1  3.31e-03  0.5576304286  1.579880e-01 1.0328
1  3.63e-03  0.5576216373  1.579880e-01 1.0328
1  3.98e-03  0.5576119581  1.579880e-01 1.0328
1  4.37e-03  0.5576013712  1.579880e-01 1.0328
1  4.79e-03  0.5575897523  1.579880e-01 1.0328
1  5.25e-03  0.5575769965  1.579880e-01 1.0328
1  5.75e-03  0.5575630235  1.579880e-01 1.0328
1  6.31e-03  0.5575477139  1.579880e-01 1.0328
1  6.92e-03  0.5575308909  1.579880e-01 1.0328
1  7.59e-03  0.5575124534  1.579880e-01 1.0328
1  8.32e-03  0.5574922354  1.579880e-01 1.0328
1  9.12e-03  0.5574700642  1.579880e-01 1.0328
1  1.00e-02  0.5574457881  1.579880e-01 1.0328
1  1.10e-02  0.557419093  1.579880e-01 1.0328
1  1.20e-02  0.5573898444  1.579880e-01 1.0328
1  1.32e-02  0.5573577707  1.579880e-01 1.0328
1  1.45e-02  0.5573225997  1.579880e-01 1.0328
1  1.58e-02  0.5572840301  1.579880e-01 1.0328
1  1.74e-02  0.557241773  1.579880e-01 1.0328
1  1.91e-02  0.5571953386  1.579880e-01 1.0328
1  2.09e-02  0.557144471  1.579880e-01 1.0328
1  2.29e-02  0.5570886423  1.579880e-01 1.0328
1  2.51e-02  0.5570273942  1.579880e-01 1.0328
1  2.75e-02  0.55696014  1.579880e-01 1.0328
1  3.02e-02  0.5568865195  1.579880e-01 1.0328
1  3.31e-02  0.5568056595  1.579880e-01 1.0328
1  3.63e-02  0.5567169367  1.579880e-01 1.0328
1  3.98e-02  0.556619493  1.579880e-01 1.0328
